Ticket Number,Category,Issue Description,Priority,Status,Department,Assigned To,Date Created,Date Updated,Resolution,Notes,Attachments
TKT2968,Equipment Malfunction,Issue with Milling Machine during machining process causing delays in production line operations.,High,Closed,Safety,Tom Clark,2024-03-08 17:09,2024-03-08 17:09,Calibrated replacement motor. Equipment now under observation.,,Image of affected part
TKT5298,Equipment Malfunction,Issue with Milling Machine during machining process causing delays in production line operations.,High,In Progress,Maintenance,John Smith,2024-03-11 17:09,2024-03-11 17:09,,Follow up required,Image of affected part
TKT9210,Equipment Malfunction,Issue with Hydraulic Press during testing process causing delays in production line operations.,Low,In Progress,Maintenance,Alice Johnson,2024-01-29 17:09,2024-01-31 17:09,,Follow up required,Image of affected part
TKT9631,Equipment Malfunction,Issue with CNC Router during testing process causing delays in production line operations.,Medium,Closed,Quality Control,Alice Johnson,2024-02-22 17:09,2024-02-25 17:09,Repaired pressure sensor. Equipment now performance improved.,,Image of affected part
TKT2157,Equipment Malfunction,Issue with Hydraulic Press during assembly process causing delays in production line operations.,Low,In Progress,Maintenance,Mike Brown,2024-01-25 17:09,2024-01-25 17:09,,Follow up required,Image of affected part
TKT4479,Equipment Malfunction,Issue with CNC Router during testing process causing delays in production line operations.,Low,In Progress,Maintenance,Jack Davis,2024-01-27 17:09,2024-01-29 17:09,,Follow up required,
TKT7326,Equipment Malfunction,Issue with Engine Lathe during testing process causing delays in production line operations.,High,In Progress,Safety,Alice Johnson,2024-03-18 17:09,2024-03-18 17:09,,Follow up required,
TKT3468,Equipment Malfunction,Issue with CNC Router during inspection process causing delays in production line operations.,Low,Open,Maintenance,Carol Taylor,2024-01-19 17:09,2024-01-19 17:09,,,
TKT5505,Equipment Malfunction,Issue with Milling Machine during testing process causing delays in production line operations.,Medium,In Progress,Quality Control,Alice Johnson,2024-02-24 17:09,2024-02-26 17:09,,Follow up required,Image of affected part
TKT4718,Equipment Malfunction,Issue with Engine Lathe during assembly process causing delays in production line operations.,High,Open,Maintenance,Alice Johnson,2024-02-17 17:09,2024-02-17 17:09,,,Image of affected part
TKT7149,Equipment Malfunction,Issue with Milling Machine during assembly process causing delays in production line operations.,High,In Progress,Maintenance,Bob Lee,2024-03-11 17:09,2024-03-11 17:09,,Follow up required,Image of affected part
TKT5769,Equipment Malfunction,Issue with Hydraulic Press during inspection process causing delays in production line operations.,Medium,Open,Maintenance,Carol Taylor,2024-02-28 17:09,2024-02-28 17:09,,,Image of affected part
TKT5647,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,Medium,Open,Safety,Carol Taylor,2024-03-15 17:09,2024-03-15 17:09,,,Image of affected part
TKT3183,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,High,Open,Maintenance,Laura Wilson,2024-02-25 17:09,2024-02-25 17:09,,,
TKT4001,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,Medium,In Progress,Quality Control,Mike Brown,2024-01-15 17:09,2024-01-20 17:09,,Follow up required,Image of affected part
TKT2799,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,Low,Closed,Maintenance,Tom Clark,2024-03-10 17:09,2024-03-12 17:09,Installed pressure sensor. Equipment now under observation.,,
TKT5413,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,Medium,Open,Quality Control,Laura Wilson,2024-03-29 17:09,2024-03-29 17:09,,,Image of affected part
TKT3626,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,High,Closed,Quality Control,Tom Clark,2024-01-20 17:09,2024-01-25 17:09,Calibrated new spindle. Equipment now fully operational.,,
TKT6601,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,High,Closed,Quality Control,Jack Davis,2024-03-06 17:09,2024-03-08 17:09,Replaced replacement motor. Equipment now under observation.,,
TKT9311,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,Low,Closed,Safety,John Smith,2024-03-27 17:09,2024-03-28 17:09,Repaired new spindle. Equipment now issue resolved.,,Image of affected part
TKT6076,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,High,In Progress,Quality Control,Jane Doe,2024-04-04 17:09,2024-04-05 17:09,,Follow up required,
TKT1634,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,Medium,In Progress,Maintenance,Alice Johnson,2024-03-21 17:09,2024-03-25 17:09,,Follow up required,Image of affected part
TKT8396,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,Medium,Open,Quality Control,Bob Lee,2024-03-24 17:09,2024-03-24 17:09,,,Image of affected part
TKT8974,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,High,In Progress,Quality Control,Tom Clark,2024-01-20 17:09,2024-01-21 17:09,,Follow up required,Image of affected part
TKT4767,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,Low,In Progress,Quality Control,Mike Brown,2024-03-28 17:09,2024-03-30 17:09,,Follow up required,Image of affected part
TKT8830,Quality Issue,Detected defects in products processed by Engine Lathe. Requires immediate quality inspection.,High,In Progress,Maintenance,Mike Brown,2024-04-12 17:09,2024-04-13 17:09,,Follow up required,
TKT6839,Quality Issue,Detected defects in products processed by Engine Lathe. Requires immediate quality inspection.,High,Closed,Maintenance,Bob Lee,2024-03-19 17:09,2024-03-20 17:09,Calibrated new spindle. Equipment now issue resolved.,,Image of affected part
TKT2944,Quality Issue,Detected defects in products processed by Engine Lathe. Requires immediate quality inspection.,Medium,In Progress,Safety,Laura Wilson,2024-02-01 17:09,2024-02-05 17:09,,Follow up required,Image of affected part
TKT2917,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,Low,Open,Maintenance,Jane Doe,2024-03-12 17:09,2024-03-12 17:09,,,
TKT2863,Quality Issue,Detected defects in products processed by Engine Lathe. Requires immediate quality inspection.,High,Closed,Safety,Carol Taylor,2024-02-06 17:09,2024-02-10 17:09,Updated hydraulic arm. Equipment now requires further testing.,,
TKT5806,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,High,Open,Quality Control,Bob Lee,2024-02-16 17:09,2024-02-16 17:09,,,Image of affected part
TKT7196,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,High,Closed,Quality Control,Sara Moore,2024-04-10 17:09,2024-04-12 17:09,Repaired pressure sensor. Equipment now performance improved.,,Image of affected part
TKT8356,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,High,Open,Safety,Sara Moore,2024-04-04 17:09,2024-04-04 17:09,,,
TKT1168,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,Medium,In Progress,Maintenance,John Smith,2024-04-12 17:09,2024-04-15 17:09,,Follow up required,
TKT9826,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,High,Open,Maintenance,Carol Taylor,2024-01-16 17:09,2024-01-16 17:09,,,
TKT3210,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,High,In Progress,Quality Control,Bob Lee,2024-03-18 17:09,2024-03-23 17:09,,Follow up required,
TKT7443,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,Low,Open,Safety,Bob Lee,2024-03-05 17:09,2024-03-05 17:09,,,Image of affected part
TKT1264,Quality Issue,Detected defects in products processed by Engine Lathe. Requires immediate quality inspection.,High,In Progress,Quality Control,Bob Lee,2024-02-03 17:09,2024-02-07 17:09,,Follow up required,Image of affected part
TKT9977,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,Medium,Closed,Quality Control,Alice Johnson,2024-04-07 17:09,2024-04-08 17:09,Calibrated hydraulic arm. Equipment now performance improved.,,Image of affected part
TKT5533,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,Low,In Progress,Safety,Mike Brown,2024-02-22 17:09,2024-02-24 17:09,,Follow up required,Image of affected part
TKT7033,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,High,Open,Quality Control,Carol Taylor,2024-03-08 17:09,2024-03-08 17:09,,,Image of affected part
TKT9324,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,Low,In Progress,Safety,Tom Clark,2024-02-10 17:09,2024-02-11 17:09,,Follow up required,Image of affected part
TKT7986,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,Low,Closed,Quality Control,Bob Lee,2024-02-18 17:09,2024-02-18 17:09,Updated new spindle. Equipment now performance improved.,,Image of affected part
TKT9638,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,Medium,Open,Maintenance,Bob Lee,2024-01-18 17:09,2024-01-18 17:09,,,Image of affected part
TKT9131,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,Low,Closed,Quality Control,Bob Lee,2024-04-07 17:09,2024-04-12 17:09,Installed new spindle. Equipment now under observation.,,Image of affected part
TKT4086,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,Medium,Open,Quality Control,Bob Lee,2024-02-25 17:09,2024-02-25 17:09,,,Image of affected part
TKT6151,Quality Issue,Detected defects in products processed by Engine Lathe. Requires immediate quality inspection.,High,In Progress,Safety,Tom Clark,2024-03-04 17:09,2024-03-05 17:09,,Follow up required,Image of affected part
TKT9056,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,High,Open,Safety,Carol Taylor,2024-03-08 17:09,2024-03-08 17:09,,,
TKT6592,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,High,Open,Quality Control,Bob Lee,2024-02-27 17:09,2024-02-27 17:09,,,
TKT8740,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,Low,In Progress,Quality Control,Jack Davis,2024-03-04 17:09,2024-03-07 17:09,,Follow up required,
TKT5983,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,Low,In Progress,Quality Control,Jack Davis,2024-03-13 17:09,2024-03-16 17:09,,Follow up required,Image of affected part
TKT1026,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,Low,Open,Safety,Laura Wilson,2024-03-19 17:09,2024-03-19 17:09,,,Image of affected part
TKT5046,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,Low,Closed,Quality Control,Tom Clark,2024-02-12 17:09,2024-02-15 17:09,Calibrated new spindle. Equipment now requires further testing.,,
TKT8352,Quality Issue,Detected defects in products processed by Milling Machine. Requires immediate quality inspection.,Medium,Closed,Quality Control,John Smith,2024-03-23 17:09,2024-03-24 17:09,Installed upgraded software. Equipment now requires further testing.,,
TKT9277,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,Medium,In Progress,Quality Control,Alice Johnson,2024-03-20 17:09,2024-03-25 17:09,,Follow up required,Image of affected part
TKT6187,Quality Issue,Detected defects in products processed by Engine Lathe. Requires immediate quality inspection.,Medium,In Progress,Maintenance,Mike Brown,2024-02-10 17:09,2024-02-13 17:09,,Follow up required,
TKT8027,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,Low,Open,Safety,Jack Davis,2024-03-02 17:09,2024-03-02 17:09,,,Image of affected part
TKT3183,Quality Issue,Detected defects in products processed by Hydraulic Press. Requires immediate quality inspection.,Low,Closed,Quality Control,John Smith,2024-01-15 17:09,2024-01-20 17:09,Repaired hydraulic arm. Equipment now issue resolved.,,Image of affected part
TKT7352,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,Low,In Progress,Safety,Jane Doe,2024-03-29 17:09,2024-03-31 17:09,,Follow up required,Image of affected part
TKT3512,Quality Issue,Detected defects in products processed by Welding Equipment. Requires immediate quality inspection.,Medium,Closed,Maintenance,Laura Wilson,2024-02-28 17:09,2024-02-29 17:09,Replaced hydraulic arm. Equipment now requires further testing.,,
TKT6416,Quality Issue,Detected defects in products processed by Engine Lathe. Requires immediate quality inspection.,High,Open,Maintenance,Laura Wilson,2024-03-06 17:09,2024-03-06 17:09,,,Image of affected part
TKT1178,Quality Issue,Detected defects in products processed by CNC Router. Requires immediate quality inspection.,High,In Progress,Maintenance,Jack Davis,2024-01-24 17:09,2024-01-25 17:09,,Follow up required,
TKT2667,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,High,In Progress,Safety,Mike Brown,2024-01-15 17:09,2024-01-19 17:09,,Follow up required,Image of affected part
TKT7343,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,High,Open,Safety,Jack Davis,2024-03-12 17:09,2024-03-12 17:09,,,Image of affected part
TKT9743,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,High,In Progress,Quality Control,Jane Doe,2024-04-05 17:09,2024-04-06 17:09,,Follow up required,Image of affected part
TKT6573,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,High,Open,Quality Control,Alice Johnson,2024-03-07 17:09,2024-03-07 17:09,,,
TKT3145,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,Medium,Open,Quality Control,Alice Johnson,2024-03-30 17:09,2024-03-30 17:09,,,
TKT3809,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,Low,In Progress,Quality Control,Alice Johnson,2024-04-02 17:09,2024-04-06 17:09,,Follow up required,Image of affected part
TKT9041,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,High,In Progress,Quality Control,Carol Taylor,2024-04-02 17:09,2024-04-05 17:09,,Follow up required,Image of affected part
TKT5812,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,Medium,Open,Quality Control,John Smith,2024-01-29 17:09,2024-01-29 17:09,,,Image of affected part
TKT9817,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,High,Closed,Maintenance,John Smith,2024-03-26 17:09,2024-03-30 17:09,Calibrated new spindle. Equipment now fully operational.,,Image of affected part
TKT2121,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,High,In Progress,Safety,Alice Johnson,2024-02-04 17:09,2024-02-04 17:09,,Follow up required,Image of affected part
TKT1288,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,Low,Closed,Safety,Bob Lee,2024-02-23 17:09,2024-02-23 17:09,Updated upgraded software. Equipment now performance improved.,,Image of affected part
TKT3517,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,High,In Progress,Quality Control,Jane Doe,2024-04-07 17:09,2024-04-08 17:09,,Follow up required,
TKT8922,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,Medium,Open,Quality Control,Jane Doe,2024-02-03 17:09,2024-02-03 17:09,,,Image of affected part
TKT6307,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,High,In Progress,Safety,Jack Davis,2024-01-24 17:09,2024-01-28 17:09,,Follow up required,Image of affected part
TKT4820,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,High,In Progress,Safety,Carol Taylor,2024-01-19 17:09,2024-01-24 17:09,,Follow up required,Image of affected part
TKT3561,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,High,In Progress,Quality Control,Jane Doe,2024-02-09 17:09,2024-02-09 17:09,,Follow up required,
TKT1374,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,Medium,In Progress,Quality Control,Alice Johnson,2024-01-16 17:09,2024-01-20 17:09,,Follow up required,
TKT6243,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,Medium,In Progress,Safety,Bob Lee,2024-04-08 17:09,2024-04-10 17:09,,Follow up required,Image of affected part
TKT9750,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,Medium,In Progress,Maintenance,Sara Moore,2024-03-10 17:09,2024-03-12 17:09,,Follow up required,Image of affected part
TKT2328,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,Low,In Progress,Maintenance,John Smith,2024-03-28 17:09,2024-04-02 17:09,,Follow up required,Image of affected part
TKT4750,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,Medium,In Progress,Quality Control,Alice Johnson,2024-03-25 17:09,2024-03-30 17:09,,Follow up required,
TKT9721,Maintenance Request,Routine maintenance required for Engine Lathe as per schedule to prevent potential breakdowns.,Medium,Open,Maintenance,Jane Doe,2024-01-27 17:09,2024-01-27 17:09,,,
TKT4653,Maintenance Request,Routine maintenance required for Engine Lathe as per schedule to prevent potential breakdowns.,Low,In Progress,Maintenance,Mike Brown,2024-04-08 17:09,2024-04-09 17:09,,Follow up required,
TKT6110,Maintenance Request,Routine maintenance required for Engine Lathe as per schedule to prevent potential breakdowns.,Medium,Closed,Maintenance,Tom Clark,2024-01-20 17:09,2024-01-25 17:09,Calibrated replacement motor. Equipment now issue resolved.,,Image of affected part
TKT1134,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,High,In Progress,Safety,Laura Wilson,2024-01-29 17:09,2024-01-31 17:09,,Follow up required,
TKT3498,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,High,Open,Safety,Jane Doe,2024-03-22 17:09,2024-03-22 17:09,,,Image of affected part
TKT7989,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,Medium,Closed,Maintenance,Sara Moore,2024-01-20 17:09,2024-01-20 17:09,Installed pressure sensor. Equipment now under observation.,,
TKT7780,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,Low,In Progress,Quality Control,Bob Lee,2024-02-23 17:09,2024-02-26 17:09,,Follow up required,
TKT3693,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,High,Open,Safety,John Smith,2024-02-21 17:09,2024-02-21 17:09,,,
TKT8696,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,Low,Open,Safety,Jane Doe,2024-02-10 17:09,2024-02-10 17:09,,,Image of affected part
TKT8273,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,Low,Open,Safety,John Smith,2024-04-10 17:09,2024-04-10 17:09,,,
TKT6686,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,Medium,Open,Quality Control,Carol Taylor,2024-03-20 17:09,2024-03-20 17:09,,,
TKT7440,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,Low,Closed,Maintenance,Alice Johnson,2024-03-14 17:09,2024-03-18 17:09,Calibrated new spindle. Equipment now requires further testing.,,Image of affected part
TKT6528,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,Medium,In Progress,Maintenance,Tom Clark,2024-02-08 17:09,2024-02-08 17:09,,Follow up required,Image of affected part
TKT2768,Maintenance Request,Routine maintenance required for Engine Lathe as per schedule to prevent potential breakdowns.,High,In Progress,Quality Control,Bob Lee,2024-03-06 17:09,2024-03-06 17:09,,Follow up required,Image of affected part
TKT1483,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,Low,Closed,Safety,Mike Brown,2024-01-26 17:09,2024-01-27 17:09,Calibrated new spindle. Equipment now fully operational.,,Image of affected part
TKT1779,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,High,Closed,Safety,Jack Davis,2024-02-23 17:09,2024-02-24 17:09,Installed pressure sensor. Equipment now fully operational.,,
TKT5992,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,High,Closed,Quality Control,Alice Johnson,2024-03-18 17:09,2024-03-20 17:09,Repaired upgraded software. Equipment now performance improved.,,
TKT1810,Maintenance Request,Routine maintenance required for Engine Lathe as per schedule to prevent potential breakdowns.,Medium,Open,Maintenance,Jack Davis,2024-03-17 17:09,2024-03-17 17:09,,,Image of affected part
